local1,vs1,visitante1
C. OLIMPO (B. BLANCA),vs,ARSENAL F.C.
C.A. HURACÁN,vs,C. ESTUDIANTES DE L.P.
C.A. UNIÓN,vs,C.A. COLÓN
C. DE G. Y ESGRIMA L.P.,vs,C.A. SAN LORENZO DE A.
C.A. N.O. BOYS,vs,C.A.TEMPERLEY
C.A. INDEPENDIENTE,vs,C.A. BANFIELD
C.A. BOCA JRS.,vs,C.A. SAN MARTÍN (S.J.)
C.A. TALLERES (CBA.),vs,A.A. ARGENTINOS JRS.
C. AT. TUCUMÁN,vs,C.A. TIGRE
Fecha: 18,,04.03.18
C. AT. TUCUMÁN,vs,C.S. Y D. DEF. Y JUSTICIA
C.A. TIGRE,vs,C.A. TALLERES (CBA.)
A.A. ARGENTINOS JRS.,vs,C.A. BOCA JRS.
C.A. SAN MARTÍN (S.J.),vs,C.A. INDEPENDIENTE
C.A. BANFIELD,vs,C.A. N.O. BOYS
C.A.TEMPERLEY,vs,C. DE G. Y ESGRIMA L.P.
C.A. SAN LORENZO DE A.,vs,C.A. UNIÓN
C.A. COLÓN,vs,C.A. HURACÁN
C. ESTUDIANTES DE L.P.,vs,C. OLIMPO (B. BLANCA)
ARSENAL F.C.,vs,C.A. LANÚS
C.A. ROSARIO CTRAL.,vs,C. DEP. GODOY CRUZ A.T.
RACING CLUB,vs,C.A. VÉLEZ SARSFIELD
C.A. RIVER PLATE,vs,C.A. CHACARITA JRS.
C.A. BELGRANO (CBA.),vs,C.A. PATRONATO (E.R.)
Fecha: 19,,11.03.18
C.S. Y D. DEF. Y JUSTICIA,vs,C.A. BELGRANO (CBA.)
C.A. PATRONATO (E.R.),vs,C.A. RIVER PLATE
C.A. CHACARITA JRS.,vs,RACING CLUB
C.A. VÉLEZ SARSFIELD,vs,C.A. ROSARIO CTRAL.
C. DEP. GODOY CRUZ A.T.,vs,ARSENAL F.C.
C.A. LANÚS,vs,C. ESTUDIANTES DE L.P.
C. OLIMPO (B. BLANCA),vs,C.A. COLÓN
C.A. HURACÁN,vs,C.A. SAN LORENZO DE A.
C.A. UNIÓN,vs,C.A.TEMPERLEY
C. DE G. Y ESGRIMA L.P.,vs,C.A. BANFIELD
C.A. N.O. BOYS,vs,C.A. SAN MARTÍN (S.J.)
C.A. INDEPENDIENTE,vs,A.A. ARGENTINOS JRS.
C.A. BOCA JRS.,vs,C.A. TIGRE
C.A. TALLERES (CBA.),vs,C. AT. TUCUMÁN
Fecha: 20,,18.03.18
C.A. TALLERES (CBA.),vs,C.S. Y D. DEF. Y JUSTICIA
C. AT. TUCUMÁN,vs,C.A. BOCA JRS.
C.A. TIGRE,vs,C.A. INDEPENDIENTE
A.A. ARGENTINOS JRS.,vs,C.A. N.O. BOYS
C.A. SAN MARTÍN (S.J.),vs,C. DE G. Y ESGRIMA L.P.
C.A. BANFIELD,vs,C.A. UNIÓN
C.A.TEMPERLEY,vs,C.A. HURACÁN
C.A. SAN LORENZO DE A.,vs,C. OLIMPO (B. BLANCA)
C.A. COLÓN,vs,C.A. LANÚS
C. ESTUDIANTES DE L.P.,vs,C. DEP. GODOY CRUZ A.T.
ARSENAL F.C.,vs,C.A. VÉLEZ SARSFIELD
C.A. ROSARIO CTRAL.,vs,C.A. CHACARITA JRS.
RACING CLUB,vs,C.A. PATRONATO (E.R.)
C.A. RIVER PLATE,vs,C.A. BELGRANO (CBA.)
Fecha: 21,,01.04.18
C.S. Y D. DEF. Y JUSTICIA,vs,C.A. RIVER PLATE
C.A. BELGRANO (CBA.),vs,RACING CLUB
C.A. PATRONATO (E.R.),vs,C.A. ROSARIO CTRAL.
C.A. CHACARITA JRS.,vs,ARSENAL F.C.
C.A. VÉLEZ SARSFIELD,vs,C. ESTUDIANTES DE L.P.
C. DEP. GODOY CRUZ A.T.,vs,C.A. COLÓN
C.A. LANÚS,vs,C.A. SAN LORENZO DE A.
C. OLIMPO (B. BLANCA),vs,C.A.TEMPERLEY
C.A. HURACÁN,vs,C.A. BANFIELD
C.A. UNIÓN,vs,C.A. SAN MARTÍN (S.J.)
C. DE G. Y ESGRIMA L.P.,vs,A.A. ARGENTINOS JRS.
C.A. N.O. BOYS,vs,C.A. TIGRE
C.A. INDEPENDIENTE,vs,C. AT. TUCUMÁN
C.A. BOCA JRS.,vs,C.A. TALLERES (CBA.)
Fecha: 22,,08.04.18
C.A. BOCA JRS.,vs,C.S. Y D. DEF. Y JUSTICIA
C.A. TALLERES (CBA.),vs,C.A. INDEPENDIENTE
C. AT. TUCUMÁN,vs,C.A. N.O. BOYS
C.A. TIGRE,vs,C. DE G. Y ESGRIMA L.P.
A.A. ARGENTINOS JRS.,vs,C.A. UNIÓN
C.A. SAN MARTÍN (S.J.),vs,C.A. HURACÁN
C.A. BANFIELD,vs,C. OLIMPO (B. BLANCA)
C.A.TEMPERLEY,vs,C.A. LANÚS
C.A. SAN LORENZO DE A.,vs,C. DEP. GODOY CRUZ A.T.
C.A. COLÓN,vs,C.A. VÉLEZ SARSFIELD
C. ESTUDIANTES DE L.P.,vs,C.A. CHACARITA JRS.
ARSENAL F.C.,vs,C.A. PATRONATO (E.R.)
C.A. ROSARIO CTRAL.,vs,C.A. BELGRANO (CBA.)
RACING CLUB,vs,C.A. RIVER PLATE
Fecha: 23,,15.04.18
C.S. Y D. DEF. Y JUSTICIA,vs,RACING CLUB
C.A. RIVER PLATE,vs,C.A. ROSARIO CTRAL.
C.A. BELGRANO (CBA.),vs,ARSENAL F.C.
C.A. PATRONATO (E.R.),vs,C. ESTUDIANTES DE L.P.
C.A. CHACARITA JRS.,vs,C.A. COLÓN
C.A. VÉLEZ SARSFIELD,vs,C.A. SAN LORENZO DE A.
C. DEP. GODOY CRUZ A.T.,vs,C.A.TEMPERLEY
C.A. LANÚS,vs,C.A. BANFIELD
C. OLIMPO (B. BLANCA),vs,C.A. SAN MARTÍN (S.J.)
C.A. HURACÁN,vs,A.A. ARGENTINOS JRS.
C.A. UNIÓN,vs,C.A. TIGRE
C. DE G. Y ESGRIMA L.P.,vs,C. AT. TUCUMÁN
C.A. N.O. BOYS,vs,C.A. TALLERES (CBA.)
C.A. INDEPENDIENTE,vs,C.A. BOCA JRS.
Fecha: 24,,22.04.18
C.A. INDEPENDIENTE,c.,C.S. Y D. DEF. Y JUSTICIA
C.A. BOCA JRS.,c.,C.A. N.O. BOYS
C.A. TALLERES (CBA.),c.,C. DE G. Y ESGRIMA L.P.
C. AT. TUCUMÁN,c.,C.A. UNIÓN
C.A. TIGRE,c.,C.A. HURACÁN
A.A. ARGENTINOS JRS.,c.,C. OLIMPO (B. BLANCA)
C.A. SAN MARTÍN (S.J.),c.,C.A. LANÚS
C.A. BANFIELD,c.,C. DEP. GODOY CRUZ A.T.
C.A.TEMPERLEY,c.,C.A. VÉLEZ SARSFIELD
C.A. SAN LORENZO DE A.,c.,C.A. CHACARITA JRS.
C.A. COLÓN,c.,C.A. PATRONATO (E.R.)
C. ESTUDIANTES DE L.P.,c.,C.A. BELGRANO (CBA.)
ARSENAL F.C.,c.,C.A. RIVER PLATE
C.A. ROSARIO CTRAL.,c.,RACING CLUB
Fecha: 25,,29.04.18
C.S. Y D. DEF. Y JUSTICIA,c.,C.A. ROSARIO CTRAL.
RACING CLUB,c.,ARSENAL F.C.
C.A. RIVER PLATE,c.,C. ESTUDIANTES DE L.P.
C.A. BELGRANO (CBA.),c.,C.A. COLÓN
C.A. PATRONATO (E.R.),c.,C.A. SAN LORENZO DE A.
C.A. CHACARITA JRS.,c.,C.A.TEMPERLEY
